variable,lag,pearson
coherencia_espectral,-84,-0.16848240234006678
coherencia_espectral,-83,-0.17097355233408312
coherencia_espectral,-82,-0.17376532499332656
coherencia_espectral,-81,-0.17653665059694224
coherencia_espectral,-80,-0.17932803977986228
coherencia_espectral,-79,-0.1819156827949843
coherencia_espectral,-78,-0.1841984605858449
coherencia_espectral,-77,-0.18593555547536345
coherencia_espectral,-76,-0.18700853136550563
coherencia_espectral,-75,-0.18742920320229564
coherencia_espectral,-74,-0.18728739077687026
coherencia_espectral,-73,-0.1867110225007734
coherencia_espectral,-72,-0.18595270651516824
coherencia_espectral,-71,-0.1852620869372845
coherencia_espectral,-70,-0.18472028851991296
coherencia_espectral,-69,-0.18432038754356245
coherencia_espectral,-68,-0.18381448134921277
coherencia_espectral,-67,-0.1833760758073207
coherencia_espectral,-66,-0.18292207808187577
coherencia_espectral,-65,-0.1822352442043501
coherencia_espectral,-64,-0.181336454395532
coherencia_espectral,-63,-0.18038812958076356
coherencia_espectral,-62,-0.1794169249420552
coherencia_espectral,-61,-0.17868836369709945
coherencia_espectral,-60,-0.178398735837465
coherencia_espectral,-59,-0.17833996470837446
coherencia_espectral,-58,-0.17838968101060412
coherencia_espectral,-57,-0.17850041564156852
coherencia_espectral,-56,-0.17864522081065262
coherencia_espectral,-55,-0.17849728141859095
coherencia_espectral,-54,-0.17791769565436108
coherencia_espectral,-53,-0.17702604967184196
coherencia_espectral,-52,-0.1757869854833313
coherencia_espectral,-51,-0.174118705397736
coherencia_espectral,-50,-0.17195465256248252
coherencia_espectral,-49,-0.16910443329469904
coherencia_espectral,-48,-0.165781904641242
coherencia_espectral,-47,-0.16206390202601328
coherencia_espectral,-46,-0.1581722335440366
coherencia_espectral,-45,-0.1542821543618861
coherencia_espectral,-44,-0.15072199802570566
coherencia_espectral,-43,-0.1474441518175522
coherencia_espectral,-42,-0.14449621030223053
coherencia_espectral,-41,-0.14186661988999738
coherencia_espectral,-40,-0.13979322965008528
coherencia_espectral,-39,-0.138371766704089
coherencia_espectral,-38,-0.13756607721736347
coherencia_espectral,-37,-0.13735663361986858
coherencia_espectral,-36,-0.13787542627772492
coherencia_espectral,-35,-0.13942456665758804
coherencia_espectral,-34,-0.1419591720943909
coherencia_espectral,-33,-0.14524286095592281
coherencia_espectral,-32,-0.14925357427535726
coherencia_espectral,-31,-0.15388342937417301
coherencia_espectral,-30,-0.15884706270530638
coherencia_espectral,-29,-0.1639682769735681
coherencia_espectral,-28,-0.16921148652097487
coherencia_espectral,-27,-0.17441303446381962
coherencia_espectral,-26,-0.17925842515886595
coherencia_espectral,-25,-0.18357930620879448
coherencia_espectral,-24,-0.1872698812036108
coherencia_espectral,-23,-0.19026917560406076
coherencia_espectral,-22,-0.1926385210423054
coherencia_espectral,-21,-0.19444921255667666
coherencia_espectral,-20,-0.19580998097538396
coherencia_espectral,-19,-0.19686682374646602
coherencia_espectral,-18,-0.1976377326529998
coherencia_espectral,-17,-0.19811012025154162
coherencia_espectral,-16,-0.1986704144055126
coherencia_espectral,-15,-0.19946113271401703
coherencia_espectral,-14,-0.20049674663366268
coherencia_espectral,-13,-0.20157761155108658
coherencia_espectral,-12,-0.20289414920706236
coherencia_espectral,-11,-0.20469081080461615
coherencia_espectral,-10,-0.2069214459447164
coherencia_espectral,-9,-0.20903135965118821
coherencia_espectral,-8,-0.2110251885941973
coherencia_espectral,-7,-0.21275291358240053
coherencia_espectral,-6,-0.21423586749451284
coherencia_espectral,-5,-0.2152536131839631
coherencia_espectral,-4,-0.21600558239323817
coherencia_espectral,-3,-0.21653481033433516
coherencia_espectral,-2,-0.21690174920849462
coherencia_espectral,-1,-0.21706521025829523
coherencia_espectral,0,-0.21731778231938362
coherencia_espectral,1,-0.21775235143306726
coherencia_espectral,2,-0.218622636391241
coherencia_espectral,3,-0.21976762946088693
coherencia_espectral,4,-0.22111534567744595
coherencia_espectral,5,-0.22265042163968263
coherencia_espectral,6,-0.22425076404025895
coherencia_espectral,7,-0.22573379354456172
coherencia_espectral,8,-0.22688037734005811
coherencia_espectral,9,-0.2275819396996968
coherencia_espectral,10,-0.22788774098155676
coherencia_espectral,11,-0.22774327233401825
coherencia_espectral,12,-0.2271807612735546
coherencia_espectral,13,-0.2261868803345579
coherencia_espectral,14,-0.2247201696711596
coherencia_espectral,15,-0.2227901426386139
coherencia_espectral,16,-0.22032351359385338
coherencia_espectral,17,-0.21731229884335293
coherencia_espectral,18,-0.213827114435184
coherencia_espectral,19,-0.21005716610006828
coherencia_espectral,20,-0.20639157647498116
coherencia_espectral,21,-0.20310092551704914
coherencia_espectral,22,-0.20042893420453933
coherencia_espectral,23,-0.19837595539457017
coherencia_espectral,24,-0.1970027020993142
coherencia_espectral,25,-0.1964794622161368
coherencia_espectral,26,-0.19684951532986103
coherencia_espectral,27,-0.19814203047143075
coherencia_espectral,28,-0.20033421882268806
